Exposure,VehValue,VehAge,VehBody,Gender,DrivAge,ClaimOcc,ClaimNb,ClaimAmount,policy
0.4845995893,1.66,old cars,Sedan,Male,oldest people,1,1,669.50999928,P1
0.9938398357,1.51,old cars,Sedan,Female,older work. people,1,1,806.6099987,P2
0.5393566051,0.76,old cars,Hatchback,Male,older work. people,1,1,401.80545139,P3
0.6543463381,1.89,old cars,Station wagon,Male,young people,1,2,1811.7099972,P4
0.8514715948,4.06,young cars,Station wagon,Male,working people,1,1,5434.4399872,P5
0.3175906913,1.39,old cars,Hatchback,Female,older work. people,1,1,865.78999901,P6
0.3175906913,2.66,youngest cars,Station wagon,Female,old people,1,1,1105.7699986,P7
0.0711841205,0.5,oldest cars,Hatchback,Female,old people,1,1,200,P8
0.5968514716,1.16,oldest cars,Station wagon,Female,young people,1,2,739.22999954,P9
0.9062286105,3.56,old cars,Motorized caravan,Male,older work. people,1,1,3230.5999985,P10
0.6543463381,2.15,old cars,Sedan,Female,old people,1,1,200,P11
0.9034907598,3.03,youngest cars,Truck,Male,youngest people,1,1,200,P12
0.3394934976,2.41,old cars,Station wagon,Male,youngest people,1,1,407.83999968,P13
0.6160164271,1.72,young cars,Station wagon,Female,oldest people,1,1,1619.829998,P14
0.6160164271,1.92,oldest cars,Station wagon,Male,old people,1,1,1010.9199982,P15
0.257357974,2.649,youngest cars,Truck,Male,youngest people,1,1,9424.3499756,P16
0.6160164271,1.86,young cars,Sedan,Female,working people,1,1,238.64000034,P17
0.6160164271,1.54,young cars,Station wagon,Female,working people,1,1,200,P18
0.7501711157,1.88,old cars,Panel van,Male,working people,1,1,369.17999983,P19
0.6844626968,0.89,old cars,Sedan,Female,working people,1,1,353.76999998,P20
0.1916495551,4.46,young cars,Coupe,Male,young people,1,1,989.91999817,P21
0.6461327858,4.32,young cars,Station wagon,Male,old people,1,1,736.84999847,P22
0.8514715948,5.59,youngest cars,Station wagon,Male,working people,1,1,369.14999962,P23
0.6652977413,1.44,oldest cars,Utility,Male,young people,1,1,500,P24
0.8514715948,2.81,youngest cars,Station wagon,Male,working people,1,1,353.76999998,P25
0.6132785763,3,old cars,Station wagon,Female,young people,1,1,6372.0299988,P26
0.3531827515,2.29,oldest cars,Station wagon,Female,older work. people,1,1,500,P27
0.925393566,0.39,oldest cars,Sedan,Female,oldest people,1,1,1379.0399971,P28
0.925393566,1.29,old cars,Sedan,Male,working people,1,1,200,P29
0.3778234086,1.13,oldest cars,Sedan,Female,youngest people,1,1,937.55999565,P30
0.9993155373,0,oldest cars,Station wagon,Male,working people,1,2,2724.3399963,P31
0.7501711157,2.41,youngest cars,Hatchback,Female,working people,1,1,12879.659973,P32
0.2464065708,3.47,youngest cars,Sedan,Male,working people,1,1,937.27999878,P33
0.8514715948,3.14,old cars,Truck,Male,youngest people,1,2,19142.132675,P34
0.9117043121,1.98,oldest cars,Station wagon,Male,oldest people,1,1,2659.3699951,P35
0.9062286105,3.3,young cars,Station wagon,Male,old people,1,1,2349.3499985,P36
0.9089664613,0.62,oldest cars,Station wagon,Male,oldest people,1,1,367.72999954,P37
0.5256673511,2.64,young cars,Utility,Female,youngest people,1,1,462.69999886,P38
0.9993155373,7.199,youngest cars,Station wagon,Female,youngest people,1,1,782.3599987,P39
0.0876112252,1.65,oldest cars,Station wagon,Male,old people,1,1,353.76999998,P40
0.9117043121,0.51,oldest cars,Hatchback,Female,oldest people,1,1,2494.5999985,P41
0.4134154689,1.749,youngest cars,Hatchback,Female,young people,1,1,13589.789948,P42
0.9089664613,2.39,young cars,Hardtop,Male,older work. people,1,1,2981.8099976,P43
0.8843258042,3.59,oldest cars,Sedan,Female,older work. people,1,1,231.96000004,P44
0.9062286105,1.11,old cars,Hatchback,Female,oldest people,1,1,200,P45
0.9117043121,1.14,old cars,Sedan,Female,older work. people,1,2,1043.6999989,P46
0.9089664613,1.64,young cars,Hatchback,Female,older work. people,1,1,1114.1899986,P47
0.9034907598,2.35,young cars,Sedan,Male,young people,1,1,200,P48
0.9089664613,1.29,old cars,Sedan,Female,oldest people,1,1,1753.8899994,P49
0.6954140999,1.65,oldest cars,Station wagon,Male,youngest people,1,1,11469.089996,P50
0.9034907598,1.99,young cars,Station wagon,Male,working people,1,1,200.00001109,P51
0.7173169062,1.04,young cars,Hatchback,Female,older work. people,1,1,200,P52
0.6406570842,1.63,young cars,Sedan,Female,working people,1,2,1255.5399971,P53
0.848733744,3.76,youngest cars,Utility,Female,young people,1,1,623.44999981,P54
0.7665982204,1.82,young cars,Hatchback,Female,working people,1,1,361.98999977,P55
0.7529089665,0.89,old cars,Hatchback,Female,older work. people,1,1,931.32999992,P56
0.848733744,0.54,oldest cars,Hatchback,Female,working people,1,1,389.94999981,P57
0.7775496235,6.359,youngest cars,Station wagon,Male,older work. people,1,1,200,P58
0.6954140999,1.26,old cars,Station wagon,Female,young people,1,1,498.34999943,P59
0.6872005476,1.1,oldest cars,Sedan,Female,young people,1,2,400,P60
0.3559206023,0.71,oldest cars,Hatchback,Female,youngest people,1,1,353.76999998,P61
0.1451060917,2.27,youngest cars,Sedan,Female,young people,1,1,200,P62
0.3422313484,1.1,old cars,Sedan,Female,older work. people,1,1,3070.8699951,P63
0.4024640657,1.24,old cars,Hatchback,Male,old people,1,1,200,P64
0.8542094456,1.13,old cars,Sedan,Female,young people,1,1,389.94999981,P65
0.9034907598,0.46,oldest cars,Sedan,Male,working people,1,1,265,P66
0.9034907598,1.3,old cars,Sedan,Female,oldest people,1,1,620.20999908,P67
0.5229295003,1.47,young cars,Sedan,Female,oldest people,1,1,461.24999809,P68
0.9034907598,1.51,oldest cars,Station wagon,Female,working people,1,1,3682.3299942,P69
0.9226557153,1.42,old cars,Sedan,Female,older work. people,1,1,6110.9799957,P70
0.5092402464,1.53,young cars,Panel van,Female,working people,1,1,2458.3299942,P71
0.2217659138,1.66,oldest cars,Utility,Male,young people,1,1,353.79999971,P72
0.2135523614,1.43,young cars,Sedan,Female,youngest people,1,1,391.30999994,P73
0.9171800137,1.81,young cars,Sedan,Female,working people,1,1,782.40999985,P74
